"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775582943910000000"
"StartRawTime","1775582943910000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1268","2026-04-07","17:29:04.12","1775582944124000000","","200.04071191425524","148.29940551169642","-744.70502762707065","3.3555695571436672","-128.48062448964015","535.41001540742172","201.66425693446399","-6529.207855265895","1","-2395.9224574241489","550.62002807278668","-891.47577777606557","1","0","0","0","0","0","0"
"1269","2026-04-07","17:29:04.12","1775582944126000000","","200.04828787168034","148.01525190371746","-743.64430849382234","3.787978712551876","-142.07680398948241","530.35956662415629","216.20457770410439","-6798.0897499211324","1","-2525.2243916327188","549.0732527854143","-773.38764368619195","1","0","0","0","0","0","0"
"1270","2026-04-07","17:29:04.12","1775582944128000000","","200.05678766718856","147.70287812202895","-742.59419948781056","4.2498977541072236","-156.18689084425341","525.05450300589018","230.95952077767379","-7055.0434273854989","1","-2652.5318091330519","547.80894263354025","-632.15507593702114","1","0","0","0","0","0","0"
"1271","2026-04-07","17:29:04.13","1775582944130000000","","200.06627112911784","147.36130350998866","-741.55520141741238","4.7417309646391459","-170.78730602014502","519.49903519908958","245.91660526596115","-7300.2075879458062","1","-2777.7339034003035","546.87296100917683","-467.99081218171068","1","0","0","0","0","0","0"
"1272","2026-04-07","17:29:04.13","1775582944132000000","","200.07679884496852","146.98959401422127","-740.52780622648595","5.2638579253425632","-185.85474788369538","513.69759546321347","261.06348035170868","-7533.7209317751785","1","-2900.7198679380508","546.31027365029252","-281.3436794421591","1","0","0","0","0","0","0"
"1273","2026-04-07","17:29:04.13","1775582944134000000","","200.08843211251707","146.5868616298178","-739.51249655114475","5.8166337742733276","-201.36619220173202","507.65483767060005","276.38792446538218","-7755.722159018319","1","-3021.3788963067145","546.16445398858775","-72.909830852381674","1","0","0","0","0","0","0"
"1274","2026-04-07","17:29:04.13","1775582944136000000","","200.10123289145113","146.15226384553438","-738.5097452765317","6.4003894670321415","-217.29889214171294","501.37563730652346","291.87784637940695","-7966.3499699904605","1","-3139.6001820382935","546.47717536587743","156.36068864483832","1","0","0","0","0","0","0"
"1275","2026-04-07","17:29:04.13","1775582944138000000","","200.11526375552057","145.68500308899195","-737.52001509359286","7.0154320347199928","-233.63037827121502","494.86509146942126","307.52128384392563","-8165.7430647510409","1","-3255.2729185510998","547.28770193822504","405.26328617380614","1","0","0","0","0","0","0"
"1276","2026-04-07","17:29:04.14","1775582944140000000","","200.13058784521107","145.184326171875","-736.54375805585187","7.6620448452473511","-250.33845855847403","488.12851887049646","323.30640526367915","-8354.0401436295033","1","-3368.2862994623974","548.63239213461327","672.34509819411414","1","0","0","0","0","0","0"
"1277","2026-04-07","17:29:04.14","1775582944142000000","","200.14726882093248","144.64952373513114","-735.58141513618398","8.3404878607069577","-267.40121837192987","481.17145983394494","339.22150772980331","-8531.3799067279197","1","-3478.5295182757636","550.54422990644161","955.91888591417273","1","0","0","0","0","0","0"
"1278","2026-04-07","17:29:04.14","1775582944144000000","","200.16537081673084","144.07992969417012","-734.63341578358973","9.0509978991804019","-284.79702048051081","473.99967629712592","355.25501923672209","-8697.9010542904689","1","-3585.8917684095104","553.05239947705468","1254.0847853065316","1","0","0","0","0","0","0"
"1279","2026-04-07","17:29:04.14","1775582944146000000","","200.18495839451401","143.47492068406297","-733.7001774799694","9.793788891585109","-302.50450505357662","466.61915181016411","371.39549620235357","-8853.7422865329063","1","-3690.2622434809018","556.18191872318107","1564.7596230631962","1","0","0","0","0","0","0"
"1280","2026-04-07","17:29:04.14","1775582944148000000","","200.20609649880234","142.83391550474141","-732.78210529689682","10.569052144163038","-320.50258966077649","459.03609153629077","387.63162628896453","-8999.0423035999356","1","-3791.5301369366716","559.95334464168002","1885.7129592494744","1","0","0","0","0","0","0"
"1281","2026-04-07","17:29:04.15","1775582944150000000","","200.22885041199132","142.15637456619692","-731.87959145239392","11.376956594489229","-338.77046927224796","451.25692225144576","403.95222516309559","-9133.9398057357357","1","-3889.5846424225056","564.38256163008737","2214.6084942036737","1","0","0","0","0","0","0"
"1282","2026-04-07","17:29:04.15","1775582944152000000","","200.25328571014091","141.44179933367985","-730.99301486770401","12.217649074798942","-357.28761625853167","443.2882923449597","420.34624015485633","-9258.5734931418519","1","-3984.3149532430289","569.4806597336991","2549.0490518058664","1","0","0","0","0","0","0"
"1283","2026-04-07","17:29:04.15","1775582944154000000","","200.27946821927557","140.68973177289894","-730.12274072406638","13.091254567328292","-376.03378039045765","435.137071818815","436.80274626467508","-9373.0820659629899","1","-4075.610263072349","575.25390586413073","2886.6230652158151","1","0","0","0","0","0","0"
"1284","2026-04-07","17:29:04.15","1775582944156000000","","200.30746397221193","139.89975379522014","-729.26912001949029","13.997876468181403","-394.98898883940115","426.81035228804376","453.31095042655534","-9477.6042244717464","1","-4163.3597653856214","581.70380664925597","3224.9503925626186","1","0","0","0","0","0","0"
"1285","2026-04-07","17:29:04.15","1775582944158000000","","200.33733916589594","139.07148670286608","-728.43248912552906","14.937596842003131","-414.1335461770268","418.31544698061407","469.86018691086429","-9572.2786688128272","1","-4247.4526537148449","588.82725739487012","3561.725372807075","1","0","0","0","0","0","0"
"1286","2026-04-07","17:29:04.16","1775582944160000000","","200.36916011926957","138.20459063411511","-727.61316934405363","15.910476686812558","-433.44803437548762","409.65989073771425","486.43992240471334","-9657.2440992304109","1","-4327.77812144991","596.61676799400425","3894.7552995670662","1","0","0","0","0","0","0"
"1287","2026-04-07","17:29:04.16","1775582944162000000","","200.40299323164464","137.29876400850065","-726.81146646402749","16.916556187538845","-452.91331280722602","400.85144001307071","503.03975036314341","-9732.6392158691979","1","-4404.2253623217675","605.06075376925151","4221.9928876236281","1","0","0","0","0","0","0"
"1288","2026-04-07","17:29:04.16","1775582944164000000","","200.43890494160843","136.35374297201037","-726.02767031828023","17.955854981892116","-472.51051824514434","391.8980728736301","519.64939717663583","-9798.6027189591587","1","-4476.6835697203078","614.14387736302535","4541.5617968869237","1","0","0","0","0","0","0"
"1289","2026-04-07","17:29:04.16","1775582944166000000","","200.47696168643452","135.36930084228516","-725.26205434028145","19.028372413046668","-492.22106486260486","382.80798899938873","536.25871557727578","-9855.2733087302604","1","-4545.0419371206863","623.847426934601","4851.7747857878248","1","0","0","0","0","0","0"
"1290","2026-04-07","17:29:04.16","1775582944168000000","","200.51722986202728","134.34524755381869","-724.51487512091489","20.134087796378708","-512.02664423323085","373.58960968327892","552.85769166601995","-9902.7896853129951","1","-4609.1896580549019","634.14971604459504","5151.1445549970176","1","0","0","0","0","0","0"
"1291","2026-04-07","17:29:04.17","1775582944170000000","","200.5597757833693","133.28142910315637","-723.78637196525301","21.272960671012697","-531.90922533116236","364.25157783094164","569.43643731699467","-9941.2905489657533","1","-4669.0159261686404","645.02649154933022","5438.3877523675892","1","0","0","0","0","0","0"
"1292","2026-04-07","17:29:04.17","1775582944172000000","","200.60466564550399","132.1777269940946","-723.07676644933042","22.44493106734069","-551.85105453088568","354.8027579612949","585.9851981639963","-9970.9145998616568","1","-4724.4099348233703","656.4513374001225","5712.4229253961403","1","0","0","0","0","0","0"
"1293","2026-04-07","17:29:04.17","1775582944174000000","","200.65196548502595","131.03405768288002","-722.38626197691826","23.649919760984517","-571.83465560729019","345.25223620607903","602.4943468219135","-9991.8005382022548","1","-4775.2608776079342","668.3960642190433","5972.3634094603995","1","0","0","0","0","0","0"
"1294","2026-04-07","17:29:04.17","1775582944176000000","","200.70174114208953","129.85037202340874","-721.71504333629809","24.887828531788614","-591.84282973563995","335.60932031008406","618.9543854020485","-10004.087064174882","1","-4821.4579479974873","680.83107669782078","6217.5062393887401","1","0","0","0","0","0","0"
"1295","2026-04-07","17:29:04.17","1775582944178000000","","200.75405822294979","128.62665471242542","-721.06327625703602","26.158540430131438","-611.85865549165896","325.883539631036","635.35594917141225","-10007.912878009505","1","-4862.8903395240286","693.72571304511155","6447.3181736453853","1","0","0","0","0","0","0"
"1296","2026-04-07","17:29:04.18","1775582944180000000","","200.80898206300174","127.36292373472253","-720.43110696675706","27.461920025970699","-631.86548885144589","316.0846451394832","651.68979791963011","-10003.416679893462","1","-4899.4472457764005","707.04855275005161","6661.4198524700323","1","0","0","0","0","0","0"
"1297","2026-04-07","17:29:04.18","1775582944182000000","","200.86657769036185","126.05922980833964","-719.81866174791855","28.797813680057516","-651.84696319144564","306.22260941925106","667.94682704340858","-9990.7371699998748","1","-4931.0178601160715","720.76769073966977","6859.5689948090803","1","0","0","0","0","0","0"
"1298","2026-04-07","17:29:04.18","1775582944184000000","","200.92690978994369","124.71565582976245","-719.22604649458481","30.166049790921079","-671.78698928859149","296.3076266668736","684.11805543178161","-9970.0130485729223","1","-4957.4913761887274","734.85097751746491","7041.6433888975689","1","0","0","0","0","0","0"
"1299","2026-04-07","17:29:04.18","1775582944186000000","","200.99004266807884","123.3323163191223","-718.65334626920082","31.566439067574947","-691.66975532007768","286.3501126919914","700.19463832693418","-9941.3830157430984","1","-4978.756987441102","749.26622607632544","7207.6242794302625","1","0","0","0","0","0","0"
"1300","2026-04-07","17:29:04.18","1775582944188000000","","201.05604021762878","121.90935686539484","-718.10062485936646","32.998774774966932","-711.47972686372896","276.36070491718101","716.16785369599256","-9904.9857718256353","1","-4994.7038874051941","763.98138727134994","7357.580597512253","1","0","0","0","0","0","0"
"1301","2026-04-07","17:29:04.19","1775582944190000000","","201.12496588364544","120.44695357159986","-717.56792433461067","34.46283300833386","-731.2016468974889","266.35026237789816","732.0291166834636","-9860.9600168799716","1","-5005.2212696414244","778.9646959608217","7491.6543447358772","1","0","0","0","0","0","0"
"1302","2026-04-07","17:29:04.19","1775582944192000000","","201.19688262951914","118.9453125","-717.05526460316514","35.958372936846672","-750.82053579993158","256.32986572276195","747.76996425640618","-9809.4444512213377","1","-5010.198327568105","794.18479060267259","7610.047320925446","1","0","0","0","0","0","0"
"1303","2026-04-07","17:29:04.19","1775582944194000000","","201.27185290367908","117.40466911730027","-716.56264296873883","37.485137079968922","-770.32169134986361","246.31081721315695","763.38207156112503","-9750.5777749660174","1","-5009.5242548024999","809.61080918070252","7713.0092890149626","1","0","0","0","0","0","0"
"1304","2026-04-07","17:29:04.19","1775582944196000000","","201.34993860677687","115.825287739847","-716.09003368729179","39.042851548899193","-789.69068872663684","236.30464072351742","778.85723446513566","-9684.4986883866113","1","-5003.0882448197644","825.21246436665638","7800.8275929769297","1","0","0","0","0","0","0"
"1305","2026-04-07","17:29:04.19","1775582944198000000","","201.43120105942722","114.20746097882733","-715.63738752380891","40.631226325174907","-808.91338050983563","226.323081741441","794.18738813785694","-9611.3458915993979","1","-4990.7794910382108","840.9601007476399","7873.818190491761","1","0","0","0","0","0","0"
"1306","2026-04-07","17:29:04.20","1775582944200000000","","201.51570097042728","112.55150918546809","-715.20463130907467","42.249955500025749","-827.97589667961802","216.37810736712026","809.36458742542072","-9531.2580848911912","1","-4972.4871871603682","856.82473678690485","7932.3180196324756","1","0","0","0","0","0","0"
"1307","2026-04-07","17:29:04.20","1775582944202000000","","201.6034984055371","110.85777989623523","-714.79166749644673","43.898717554910149","-846.86464461643141","206.48190631396801","824.38102744220032","-9444.3739684066932","1","-4948.1005265761269","872.77809398456532","7976.6785988302327","1","0","0","0","0","0","0"
"1308","2026-04-07","17:29:04.20","1775582944204000000","","201.69465275673494","109.12664727803309","-714.39837371863018","45.577175598921826","-865.56630910106946","196.6468889082762","839.22902200583849","-9350.8322423190293","1","-4917.5087028459075","888.7926154642189","8007.2607398267901","1","0","0","0","0","0","0"
"1309","2026-04-07","17:29:04.20","1775582944206000000","","201.78922271203774","107.35851157340323","-714.02460234445118","47.28497765140105","-884.0678523149279","186.88568708950015","853.90102623961184","-9250.7716069292201","1","-4880.600909388022","904.84147597639299","8024.4302560870437","1","0","0","0","0","0","0"
"1310","2026-04-07","17:29:04.20","1775582944208000000","","201.88726622579208","105.55379854572402","-713.67018003563157","49.021756877166922","-902.35651383960658","177.21115440980384","868.38961288293604","-9144.3307623393357","1","-4837.2663398481563","920.8985850588258","8028.5545412164083","1","0","0","0","0","0","0"
"1311","2026-04-07","17:29:04.21","1775582944210000000","","201.98884048953477","103.71295892440969","-713.33490730356289","50.787131871345537","-920.41981065716527","167.63636603434406","882.68749708930727","-9031.6484087793469","1","-4787.3941877298876","936.93858487687976","8019.9999090269785","1","0","0","0","0","0","0"
"1312","2026-04-07","17:29:04.21","1775582944212000000","","202.09400190331937","101.8364678501095","-713.01855806608012","52.5807068923001","-938.24553715009529","158.17461874138417","896.78751047728156","-8912.8632464650073","1","-4730.8736464799495","952.93684404232533","7999.1295827227868","1","0","0","0","0","0","0"
"1313","2026-04-07","17:29:04.21","1775582944214000000","","202.20280604761717","99.924824319907032","-712.72087920423564","54.402072148903358","-955.82176510123418","148.83943092223717","910.68262830162894","-8788.1139755694439","1","-4667.5939095734975","968.86944852884528","7966.3022432599746","1","0","0","0","0","0","0"
"1314","2026-04-07","17:29:04.21","1775582944216000000","","202.31530765567913","97.97855063251933","-712.44159011907391","56.250804030980817","-973.13684369385101","139.64454258086789","924.36594103872949","-8657.5392963084141","1","-4597.4441706846392","984.71319062008217","7921.8710456184454","1","0","0","0","0","0","0"
"1315","2026-04-07","17:29:04.21","1775582944218000000","","202.43156058647287","95.998191833496094","-712.18038228840487","58.126465396867388","-990.17939951161793","130.60391533451821","937.83068294328586","-8521.2779088834614","1","-4520.3136231748431","1000.4455566883323","7866.1830341250716","1","0","0","0","0","0","0"
"1316","2026-04-07","17:29:04.22","1775582944220000000","","202.55161779810129","93.98431516041893","-711.93691882357848","60.028605814210323","-1006.9383365385818","121.73173241319546","951.0702086714673","-8379.4685134819247","1","-4436.0914606613733","1016.0447144606391","7799.5788861533692","1","0","0","0","0","0","0"
"1317","2026-04-07","17:29:04.22","1775582944222000000","","202.67553132173711","91.937509488100488","-711.71083402625857","61.956761817910433","-1023.4028361592209","113.04239865995669","964.07800185005499","-8232.2498103195576","1","-4344.6668766193852","1031.4895003287695","7722.3929340652257","1","0","0","0","0","0","0"
"1318","2026-04-07","17:29:04.22","1775582944224000000","","202.80335223612121","89.858384773783769","-711.50173294519664","63.91045719205124","-1039.5623571583599","104.55054053096546","976.84768707040348","-8079.7604995694883","1","-4245.9290644956127","1046.7594071631072","7634.9534171688447","1","0","0","0","0","0","0"
"1319","2026-04-07","17:29:04.22","1775582944226000000","","202.93513064251249","87.747571502341231","-711.30919093300645","65.889203195638402","-1055.4066357212689","96.271006095093981","989.3730017935809","-7922.1392814545197","1","-4139.7672179357414","1061.8345730088117","7537.5829228522662","1","0","0","0","0","0","0"
"1320","2026-04-07","17:29:04.22","1775582944228000000","","203.07091564023074","85.605720131474015","-711.13275320293769","67.892498859123407","-1070.9256854336074","88.218865034377814","1001.6478317425026","-7759.5248561692642","1","-4026.0705303580835","1076.6957709913845","7430.5989912863879","1","0","0","0","0","0","0"
"1321","2026-04-07","17:29:04.23","1775582944230000000","","203.21075530264176","83.433500536911254","-710.97193438565046","69.919831205510263","-1086.1097972813809","80.409408643618008","1013.6661731934282","-7592.0559238867327","1","-3904.7281953799029","1091.3244006915752","7314.314850095343","1","0","0","0","0","0","0"
"1322","2026-04-07","17:29:04.23","1775582944232000000","","203.35469665374094","81.231601457608974","-710.82621808598867","71.970675549593466","-1100.9495396511397","72.858149830892671","1025.4221720416012","-7419.8711848794119","1","-3775.6294063626683","1105.7024812280663","7189.0402682455488","1","0","0","0","0","0","0"
"1323","2026-04-07","17:29:04.23","1775582944234000000","","203.50278564517325","79.000729940949697","-710.69505643975447","74.044495716151459","-1115.4357583296387","65.580823117102227","1036.9100832789968","-7243.1093392494859","1","-3638.663356895222","1119.8126462346245","7055.0825032790954","1","0","0","0","0","0","0"
"1324","2026-04-07","17:29:04.23","1775582944236000000","","203.65506713385784","76.741610787941397","-710.57786967048276","76.140744342296784","-1129.5595765041496","58.593384635855728","1048.1243130726625","-7061.909087255458","1","-3493.7192406232498","1133.638140918132","6912.7473417537431","1","0","0","0","0","0","0"
"1325","2026-04-07","17:29:04.23","1775582944238000000","","203.81158486004264","74.454985998416703","-710.47404564621422","78.258863092401043","-1143.3123947623471","51.912012134266661","1059.0593750521293","-6876.4091290987608","1","-3340.6862507945334","1147.1628213438389","6762.3402128534735","1","0","0","0","0","0","0"
"1326","2026-04-07","17:29:04.24","1775582944240000000","","203.97238142597033","72.141614216232199","-710.38293943627025","80.398282963841439","-1156.6858910922519","45.553104971986613","1069.7099357201978","-6686.7481649524052","1","-3179.4535811400237","1160.3711561082512","6604.1673822061284","1","0","0","0","0","0","0"
"1327","2026-04-07","17:29:04.24","1775582944242000000","","204.13749827496721","69.802270174467651","-710.3038728680267","82.558424498444083","-1169.672020882274","39.533284121773704","1080.0707673013221","-6493.0648950110026","1","-3009.9104251064546","1173.2482305309227","6438.5372113357562","1","0","0","0","0","0","0"
"1328","2026-04-07","17:29:04.24","1775582944244000000","","204.30697567115061","67.437744140625","-710.23613408368806","84.738698091697984","-1182.2630169213255","33.869392169322055","1090.1367966269504","-6295.4980195257804","1","-2831.9459762258248","1185.7797535209097","6265.7614949935123","1","0","0","0","0","0","0"
"1329","2026-04-07","17:29:04.24","1775582944246000000","","204.48085267955236","65.04884136182784","-710.17897709706119","86.938504200873012","-1194.45138939858","28.578493313432318","1099.9030545875144","-6094.1862386272305","1","-2645.4494279448681","1197.9520672501671","6086.1568646287196","1","0","0","0","0","0","0"
"1330","2026-04-07","17:29:04.24","1775582944248000000","","204.65916714686719","62.636381510020414","-710.13162135032974","89.157233657417123","-1206.2299259037131","23.677873365727464","1109.3647282720553","-5889.2682525665805","1","-2450.309973852427","1209.7521598022647","5900.0462760487835","1","0","0","0","0","0","0"
"1331","2026-04-07","17:29:04.25","1775582944250000000","","204.84195568261089","60.20119812716689","-710.0932512708282","91.394267871848456","-1217.5916914267616","19.185039750766464","1118.5171072156663","-5680.8827615242308","1","-2246.4168074805002","1221.1676809437563","5707.7605707457906","1","0","0","0","0","0","0"
"1332","2026-04-07","17:29:04.25","1775582944252000000","","205.02925364091007","57.74413807045056","-710.06301582781543","93.648979149591582","-1228.5300283581648","15.117721506385351","1127.3556388715633","-5469.168465701614","1","-2033.6591221905564","1232.1869612104401","5509.640133341918","1","0","0","0","0","0","0"
"1333","2026-04-07","17:29:04.25","1775582944254000000","","205.22109510269453","55.266060957473144","-710.04002808924952","95.920730892231632","-1239.0385564887083","11.493869282958258","1135.8758713200245","-5254.2640652717409","1","-1811.9261117135466","1242.799034482895","5306.0366362274181","1","0","0","0","0","0","0"
"1334","2026-04-07","17:29:04.25","1775582944256000000","","205.41751285852865","52.767838611453783","-710.02336477856147","98.208877917059567","-1249.1111730096804","8.3316553440226926","1144.0735124139678","-5036.3082604860665","1","-1581.1069694677826","1252.9936642777245","5097.3148974147762","1","0","0","0","0","0","0"
"1335","2026-04-07","17:29:04.25","1775582944258000000","","205.61853839183789","50.25035450642838","-710.0120658314288","100.51276665461728","-1258.7420525127015","5.6494735663363826","1151.9443687788566","-4815.4397515105529","1","-1341.090888843155","1262.7613739642304","4883.8548432529478","1","0","0","0","0","0","0"
"1336","2026-04-07","17:29:04.26","1775582944260000000","","205.8242018627819","47.714503212448875","-710.0051339525503","102.83173547200875","-1267.9256469897523","3.4659394392519971","1159.4844086957323","-4591.7972385253734","1","-1091.7670635421928","1272.093481176114","4666.0536059417836","1","0","0","0","0","0","0"
"1337","2026-04-07","17:29:04.26","1775582944262000000","","206.03453209251501","45.161189840782185","-710.00153417242029","105.16511486655133","-1276.6566858333447","1.7998900650013638","1166.6896972712948","-4365.5194217961935","1","-833.02468712531663","1280.9821366717495","4444.3277478177379","1","0","0","0","0","0","0"
"1338","2026-04-07","17:29:04.26","1775582944264000000","","206.24955654809193","42.591329489109711","-710.00019340410131","107.5122277884617","-1284.9301758362371","0.67038415949127739","1173.556460955183","-4136.7450014462293","1","-564.75295275504322","1289.4203679613188","4219.1156447846652","1","0","0","0","0","0","0"
"1339","2026-04-07","17:29:04.26","1775582944266000000","","206.4693013278083","40.005846686726358","-710","109.87238985818237","-1292.7414011916767","0.096702050655039784","1180.0810348603363","-3905.6126777197733","1","-286.8410544181188","1297.4021280079105","3990.8800232958583","1","0","0","0","0","0","0"
"1340","2026-04-07","17:29:04.26","1775582944268000000","","206.69379114705546","37.40567483973976","-710","112.24490962358402","-1300.0859234932989","0","1186.2598827008242","-3672.2611508110958","1","-48.351025327519892","1304.9223456596296","3760.108825859561","1","0","0","0","0","0","0"
"1341","2026-04-07","17:29:04.27","1775582944270000000","","206.92304932478982","34.79175567626956","-710","114.62908886717571","-1306.9595817351001","0","1192.0896217958443","-3436.8291209005974","1","0","1311.9768200329252","3527.237186647767","1","0","0","0","0","0","0"
"1342","2026-04-07","17:29:04.27","1775582944272000000","","207.15709777037762","32.165038691646544","-710","117.02422279390134","-1313.3584923115079","0","1197.5669633628172","-3199.4552882039216","1","0","1318.5617915165274","3292.4857418011015","1","0","0","0","0","0","0"
"1343","2026-04-07","17:29:04.27","1775582944274000000","","207.39595697111517","29.52648059361178","-710","119.42960036877537","-1319.279049017382","0","1202.6887874370118","-2960.2783529370527","1","0","1324.6737857376258","3055.9971105492423","1","0","0","0","0","0","0"
"1344","2026-04-07","17:29:04.27","1775582944276000000","","207.63964598010739","26.877044747515981","-710","121.84450449611006","-1324.7179230478991","0","1207.4520636673469","-2719.4370152585634","1","0","1330.3096101736026","2817.9122179883507","1","0","0","0","0","0","0"
"1345","2026-04-07","17:29:04.27","1775582944278000000","","207.88818240482988","24.217700621518759","-710","124.26821236124397","-1329.6720629986112","0","1211.8539325669531","-2477.0699753560166","1","0","1335.466354395513","2578.3721109552289","1","0","0","0","0","0","0"
"1346","2026-04-07","17:29:04.28","1775582944280000000","","208.14158239604137","21.54942323178733","-710","126.69999560574752","-1334.1386948657146","0","1215.8916222517746","-2233.3159335516939","1","0","1340.1413903109212","2337.5179577041081","1","0","0","0","0","0","0"
"1347","2026-04-07","17:29:04.28","1775582944282000000","","208.39986063738792","18.873192587696423","-710","129.1391206732726","-1338.1153220454535","0","1219.5625337625415","-1988.3135898694491","1","0","1344.332372436621","2095.4910628498737","1","0","0","0","0","0","0"
"1348","2026-04-07","17:29:04.28","1775582944284000000","","208.66303033534876","16.189993137027045","-710","131.58484898042389","-1341.5997253346886","0","1222.8641535756424","-1742.2016446175803","1","0","1348.0372381723412","1852.4328678601023","1","0","0","0","0","0","0"
"1349","2026-04-07","17:29:04.28","1775582944286000000","","208.93110320988299","13.500813211165706","-710","134.03643726711323","-1344.5899629306693","0","1225.7941433446717","-1495.118797990358","1","0","1351.2542081078452","1608.4849677520197","1","0","0","0","0","0","0"
"1350","2026-04-07","17:29:04.28","1775582944288000000","","209.20408948540876","10.80664447030378","-710","136.49313776288352","-1347.084370430963","0","1228.350247885146","-1247.2037501468094","1","0","1353.9817863308726","1363.7891115137108","1","0","0","0","0","0","0"
"1351","2026-04-07","17:29:04.29","1775582944290000000","","209.48199788249229","8.1084813486366158","-710","138.95419854176794","-1349.0815608335822","0","1230.5303894422082","-998.59520130962665","1","0","1356.2187607733347","1118.4872212310211","1","0","0","0","0","0","0"
"1352","2026-04-07","17:29:04.29","1775582944292000000","","209.76483560986043","5.4073204995627577","-710","141.41886368406631","-1350.5804245369291","0","1232.3325711491862","-749.43185167342108","1","0","1357.9642035591528","872.7213929090567","1","0","0","0","0","0","0"
"1353","2026-04-07","17:29:04.29","1775582944294000000","","210.05260835713233","2.7041602408830556","-710","143.8863736359508","-1351.5801293398511","0","1233.7549759422473","-499.85240146099841","1","0","1359.2174713946376","626.63391774242427","1","0","0","0","0","0","0"
"1354","2026-04-07","17:29:04.29","1775582944296000000","","210.34532028786504","5.6843418860808015E-14","-710","146.35596536635376","-1352.0801204414993","0","1234.7958652014768","-249.99555082411007","1","0","1359.9782059619251","380.36728364374994","1","0","0","0","0","0","0"
"1355","2026-04-07","17:29:04.29","1775582944298000000","","210.64297403332776","-2.7041602408829419","-710","148.82687273136241","-1352.0801204414993","0","1235.4536825043283","0","1","0","1360.2463343601028","134.06419908881162","1","0","0","0","0","0","0"
"1356","2026-04-07","17:29:04.30","1775582944300000000","","210.94557068658074","-5.4073204995626725","-710","151.29832662648823","-1351.5801293398652","0","1235.7269475629096","249.99555081706148","1","0","1360.0220695512048","-112.1324044489711","1","0","0","0","0","0","0"
"1357","2026-04-07","17:29:04.30","1775582944302000000","","211.25310979729213","-8.108481348636559","-710","153.76955535569437","-1350.5804245369432","0","1235.614364603066","499.85240146099841","1","0","1359.3059108591701","-358.07934601734814","1","0","0","0","0","0","0"
"1358","2026-04-07","17:29:04.30","1775582944304000000","","211.56558936684985","-10.806644470303752","-710","156.23978477886169","-1349.0815608335963","0","1235.1147115836625","749.43185167342108","1","0","1358.0986444765188","-603.63319132568449","1","0","0","0","0","0","0"
"1359","2026-04-07","17:29:04.30","1775582944306000000","","211.88300584422143","-13.500813211165621","-710","158.70823868579009","-1347.0843704309345","0","1234.2269534642014","998.59520133088608","1","0","1356.4013440298754","-848.65022332166973","1","0","0","0","0","0","0"
"1360","2026-04-07","17:29:04.30","1775582944308000000","","212.20535412209861","-16.18999313702696","-710","161.17413893859123","-1344.5899629306693","0","1232.9501264005671","1247.2037501325985","1","0","1354.2153711564845","-1092.9864366954689","1","0","0","0","0","0","0"
"1361","2026-04-07","17:29:04.31","1775582944310000000","","212.53262753378419","-18.873192587696394","-710","163.63670584279078","-1341.599725334717","0","1231.283452099774","1495.1187979761471","1","0","1351.5423761455904","-1336.4975054470278","1","0","0","0","0","0","0"
"1362","2026-04-07","17:29:04.31","1775582944312000000","","212.86481785044907","-21.549423231787273","-710","166.09515833243904","-1338.1153220454394","0","1229.2262448241331","1742.2016446388398","1","0","1348.3842986011991","-1579.0387721956449","1","0","0","0","0","0","0"
