"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"366","366","-88","-3781","338","34.6"
"367","367","-63","-3467","338","31"
"368","368","-34","-3152","338","26.1"
"369","369","-2","-2823","338","32.95"
"370","370","23","-2508","338","29.45"
"371","371","44","-2205","338","25.65"
"372","372","57","-1924","338","23.55"
"373","373","71","-1656","338","19.4"
"374","374","82","-1404","338","22.1"
"375","375","89","-1178","338","13.75"
"376","376","48","-1068","338","6.95"
"377","377","0","-1070","338","-37.35"
"378","378","0","-1022","338","-25.55"
"379","379","0","-958","338","-10.45"
"380","380","0","-906","338","-14.35"
"381","381","0","-863","338","-19.1"
"382","382","0","-825","338","-22.2"
"383","383","0","-788","338","-23"
"384","384","0","-754","338","-24.55"
"385","385","1","-717","338","-23.15"
"386","386","0","-682","337","-23.15"
"387","387","1","-645","337","-21.7"
"388","388","1","-608","338","-20.3"
"389","389","1","-571","338","-19.65"
"390","390","1","-531","338","-16.75"
"391","391","1","-489","338","-13.05"
"392","392","1","-442","338","-8.2"
"393","393","2","-393","338","-3.65"
"394","394","2","-343","337","0.55"
"395","395","2","-291","337","5.35"
"396","396","3","-237","337","10.65"
"397","397","3","-185","337","13.9"
"398","398","3","-140","337","15.1"
"399","399","4","-99","337","14.5"
"400","400","5","-68","338","11.45"
"401","401","6","-38","338","11.6"
"402","402","6","-14","338","10.65"
"403","403","8","6","338","8.65"
"404","404","9","23","337","7.35"
"405","405","11","40","337","7.45"
"406","406","12","56","337","6.9"
"407","407","14","70","337","5.05"
"408","408","17","84","337","3.85"
"409","409","18","95","337","1.95"
"410","410","21","107","337","0.6"
"411","411","24","120","337","-0.6"
"412","412","27","133","337","-2.35"
"413","413","30","150","337","-1.95"
"414","414","34","167","337","-3.75"
"415","415","38","186","337","-5.05"
"416","416","42","207","337","-6"
"417","417","47","235","337","-5.35"
"418","418","52","271","337","-2.05"
"419","419","56","313","337","1.15"
"420","420","63","365","337","5.25"
"421","421","68","424","337","9.55"
"422","422","75","490","337","13.45"
"423","423","81","559","337","15.9"
"424","424","88","630","337","16.5"
"425","425","96","703","337","18.1"
"426","426","104","778","337","18.85"
"427","427","113","859","337","20.3"
"428","428","121","940","337","21.55"
"429","429","130","1024","337","22.35"
"430","430","140","1111","337","23.1"
"431","431","151","1200","337","22.8"
"432","432","162","1293","337","23.35"
"433","433","172","1386","337","22.45"
"434","434","184","1483","337","21.85"
"435","435","196","1583","337","21.8"
"436","436","208","1685","337","20.15"
"437","437","222","1792","337","19.9"
"438","438","235","1901","337","18.85"
"439","439","249","2017","337","18.15"
"440","440","264","2140","337","18.9"
"441","441","279","2267","337","18.6"
"442","442","295","2398","337","17.25"
"443","443","311","2537","337","19.15"
"444","444","328","2683","337","19.05"
"445","445","344","2834","337","19.15"
"446","446","362","2990","337","19"
"447","447","381","3154","337","19.15"
"448","448","398","3323","336","19.85"
"449","449","418","3503","336","22.55"
"450","450","438","3690","336","24.5"
"451","451","458","3883","336","25.45"
"452","452","479","4082","336","27.45"
"453","453","500","4288","336","27.95"
"454","454","521","4499","336","28.8"
"455","455","543","4719","336","31.8"
"456","456","566","4947","336","34.5"
"457","457","589","5179","336","34.95"
"458","458","612","5414","336","35.1"
"459","459","636","5654","336","35.8"
"460","460","659","5900","336","38.2"
"461","461","685","6150","336","38.3"
"462","462","709","6401","336","36.3"
"463","463","734","6660","336","38.5"
"464","464","760","6921","335","38.65"
"465","465","786","7180","335","34.25"
"466","466","812","7448","335","35.6"
"467","467","838","7722","335","37.9"
"468","468","865","7995","335","35"
"469","469","892","8274","335","36.05"
"470","470","920","8561","334","37.95"
"471","471","946","8850","334","37.8"
"472","472","974","9142","334","36.6"
"473","473","1002","9435","334","36.65"
"474","474","1029","9733","334","36.55"
"475","475","1058","10037","334","38.65"
"476","476","1085","10341","333","36.95"
"477","477","1114","10648","333","38.05"
"478","478","1142","10959","333","37.35"
"479","479","1170","11275","333","40.1"
"480","480","1198","11590","333","38.5"
"481","481","1226","11910","333","40.15"
"482","482","1255","12233","332","41.25"
"483","483","1282","12556","332","41.9"
"484","484","1310","12876","332","40.25"
"485","485","1338","13198","332","40.4"
"486","486","1365","13521","332","40.5"
"487","487","1393","13844","332","40.4"
"488","488","1420","14168","332","41.45"
"489","489","1446","14490","332","41.15"
"490","490","1473","14805","331","36.4"
"491","491","1499","15124","331","38.8"
"492","492","1525","15443","331","39.15"
"493","493","1551","15758","331","37.75"
"494","494","1576","16071","330","36.9"
"495","495","1601","16385","330","39.05"
"496","496","1626","16695","330","37.8"
"497","497","1650","16998","330","34.65"
"498","498","1673","17302","331","36.15"
"499","499","1697","17604","331","36.45"
"500","500","1719","17899","330","34.65"
"501","501","1741","18193","330","34.75"
"502","502","1761","18479","330","33.7"
"503","503","1783","18759","330","29.8"
"504","504","1804","19038","329","32"
"505","505","1823","19312","329","31.5"
"506","506","1842","19581","330","30.8"
"507","507","1861","19846","330","31.1"
"508","508","1879","20105","331","30.8"
"509","509","1895","20351","331","24.1"
"510","510","1912","20597","331","27.05"
"511","511","1927","20838","331","27.15"
"512","512","1942","21071","330","25.3"
"513","513","1956","21294","330","23.25"
"514","514","1970","21514","330","23.75"
"515","515","1983","21726","330","24"
