"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"384","384","-880","-13645","331","35.2"
"385","385","-852","-13302","331","32.9"
"386","386","-825","-12958","332","34.25"
"387","387","-798","-12619","332","33.55"
"388","388","-773","-12282","332","34.3"
"389","389","-747","-11948","332","34.15"
"390","390","-721","-11617","332","35.2"
"391","391","-697","-11292","332","34.2"
"392","392","-673","-10972","333","32.2"
"393","393","-649","-10655","333","34.2"
"394","394","-626","-10347","333","31.35"
"395","395","-603","-10041","333","31.25"
"396","396","-581","-9740","333","30.8"
"397","397","-559","-9442","333","30.9"
"398","398","-538","-9149","333","31.25"
"399","399","-517","-8863","333","29.45"
"400","400","-497","-8582","334","29.05"
"401","401","-478","-8304","334","30.65"
"402","402","-459","-8035","334","28.35"
"403","403","-440","-7769","334","28.35"
"404","404","-422","-7505","334","29.5"
"405","405","-405","-7248","334","29.85"
"406","406","-388","-6998","334","28.05"
"407","407","-371","-6754","334","27.15"
"408","408","-355","-6511","334","28.3"
"409","409","-340","-6274","334","29.45"
"410","410","-325","-6047","334","27.55"
"411","411","-310","-5825","334","26.2"
"412","412","-295","-5605","334","27.15"
"413","413","-282","-5393","334","26.55"
"414","414","-270","-5187","334","26.65"
"415","415","-256","-4987","334","24.5"
"416","416","-244","-4792","335","24.25"
"417","417","-232","-4604","335","24.2"
"418","418","-221","-4421","335","23.15"
"419","419","-209","-4239","335","24.45"
"420","420","-198","-4064","335","23.15"
"421","421","-189","-3897","335","22.15"
"422","422","-178","-3733","335","21.45"
"423","423","-169","-3576","335","20.45"
"424","424","-160","-3423","335","19.8"
"425","425","-151","-3274","335","20.2"
"426","426","-142","-3130","335","20.2"
"427","427","-133","-2988","335","20.45"
"428","428","-126","-2852","335","19.85"
"429","429","-119","-2721","335","18.9"
"430","430","-111","-2594","335","18.35"
"431","431","-104","-2470","335","18.55"
"432","432","-97","-2352","335","17.75"
"433","433","-90","-2237","335","17.35"
"434","434","-84","-2125","335","17.55"
"435","435","-78","-2017","335","17.25"
"436","436","-72","-1914","335","15.8"
"437","437","-66","-1811","335","17.6"
"438","438","-61","-1715","335","16"
"439","439","-53","-1614","335","16.55"
"440","440","-43","-1509","335","18.65"
"441","441","-29","-1391","335","20.2"
"442","442","-13","-1263","335","22.05"
"443","443","7","-1118","335","24.55"
"444","444","29","-956","335","27.95"
"445","445","55","-776","335","31.45"
"446","446","83","-576","335","34.35"
"447","447","112","-354","335","39.75"
"448","448","143","-109","335","46.45"
"449","449","176","160","335","53.2"
"450","450","210","440","335","55.5"
"451","451","245","734","335","58.2"
"452","452","279","1039","335","59.35"
"453","453","314","1354","335","60.4"
"454","454","348","1675","334","61.5"
"455","455","382","2003","334","61.75"
"456","456","416","2335","334","62.1"
"457","457","449","2671","334","61.55"
"458","458","481","3012","334","62.85"
"459","459","513","3353","334","62.5"
"460","460","545","3691","334","58.8"
"461","461","575","4028","334","56.7"
"462","462","606","4364","333","55.75"
"463","463","635","4698","333","55.7"
"464","464","665","5032","333","53.3"
"465","465","692","5359","333","49.85"
"466","466","721","5684","332","46.9"
"467","467","748","6011","332","47.65"
"468","468","774","6331","332","45.55"
"469","469","800","6648","332","42.9"
"470","470","825","6964","332","43.65"
"471","471","849","7274","332","41.6"
"472","472","873","7576","331","38.2"
"473","473","895","7875","331","37.15"
"474","474","916","8171","331","37.95"
"475","475","937","8461","331","36.75"
"476","476","957","8748","330","36.95"
"477","477","975","9028","330","36.45"
"478","478","993","9302","330","36.9"
"479","479","1010","9565","330","34.65"
"480","480","1025","9821","330","33.3"
"481","481","1040","10069","330","33.6"
"482","482","1053","10308","329","32.7"
"483","483","1065","10537","329","32.7"
"484","484","1077","10756","329","30.35"
"485","485","1086","10962","329","28.95"
"486","486","1096","11160","328","27.7"
"487","487","1104","11347","328","27.1"
"488","488","1111","11522","328","24.7"
"489","489","1117","11687","328","24.2"
"490","490","1121","11841","328","23.25"
"491","491","1124","11980","328","21.25"
"492","492","1127","12104","327","16.5"
"493","493","1128","12219","327","16.8"
"494","494","1128","12322","327","15.75"
"495","495","1127","12410","327","12.1"
"496","496","1125","12489","327","10.9"
"497","497","1122","12555","327","9.85"
"498","498","1117","12603","327","4.8"
"499","499","1113","12641","327","2.8"
"500","500","1106","12663","326","-0.15"
"501","501","1099","12671","326","-4.8"
"502","502","1090","12666","326","-8.05"
"503","503","1080","12649","326","-10.4"
"504","504","1070","12619","326","-14.25"
"505","505","1059","12581","326","-15.45"
"506","506","1046","12538","326","-13.15"
"507","507","1032","12487","326","-11.2"
"508","508","1018","12424","326","-13.85"
"509","509","1003","12345","326","-17.05"
"510","510","987","12263","326","-14.25"
"511","511","970","12169","326","-14.85"
"512","512","951","12063","326","-16.3"
"513","513","933","11943","326","-18.3"
"514","514","914","11810","326","-22.4"
"515","515","893","11668","326","-21.5"
"516","516","873","11518","326","-21.5"
"517","517","851","11352","326","-26.15"
"518","518","828","11178","327","-25.85"
"519","519","806","10997","327","-26.4"
"520","520","781","10802","327","-29.4"
"521","521","757","10604","327","-28"
"522","522","733","10395","327","-28.65"
"523","523","708","10178","327","-29.85"
"524","524","681","9949","327","-31.95"
"525","525","655","9715","327","-32.7"
"526","526","628","9474","327","-31.7"
"527","527","601","9219","327","-35.85"
"528","528","574","8960","328","-36.45"
"529","529","546","8693","328","-37.3"
"530","530","518","8415","328","-41.1"
"531","531","490","8134","328","-41.15"
"532","532","461","7844","328","-43.45"
"533","533","432","7548","328","-46.75"
"534","534","402","7252","328","-44.35"
"535","535","374","6953","328","-43.75"
"536","536","345","6646","328","-46.1"
"537","537","315","6339","328","-45.6"
"538","538","286","6033","329","-43.35"
"539","539","257","5722","329","-44.05"
"540","540","228","5408","329","-44.55"
"541","541","199","5091","329","-45.55"
"542","542","171","4775","329","-44.25"
"543","543","145","4463","329","-43.25"
"544","544","120","4155","329","-41.85"
"545","545","96","3852","329","-41.85"
"546","546","75","3557","329","-39.55"
"547","547","56","3271","329","-39"
"548","548","40","2998","329","-37.3"
"549","549","26","2742","329","-33.75"
"550","550","15","2504","329","-29.9"
"551","551","7","2284","329","-26.75"
"552","552","3","2088","329","-22.5"
"553","553","0","1916","329","-17.2"
"554","554","0","1764","329","-13"
"555","555","0","1628","329","-10.35"
"556","556","5","1517","329","-7.4"
"557","557","19","1447","329","0.35"
"558","558","38","1421","329","12.55"
"559","559","58","1430","329","22.75"
"560","560","76","1456","329","25.6"
"561","561","96","1495","329","23.25"
"562","562","115","1548","329","23.7"
"563","563","135","1620","329","26.65"
"564","564","153","1708","329","31.6"
"565","565","172","1793","329","23.8"
"566","566","191","1895","329","25.65"
"567","567","210","2007","329","28.35"
"568","568","230","2126","329","26.35"
"569","569","248","2258","329","30.25"
"570","570","267","2387","329","25.35"
"571","571","287","2523","329","23.4"
"572","572","305","2667","329","24.7"
"573","573","324","2813","329","22.8"
"574","574","343","2966","329","22.45"
"575","575","362","3126","329","23.15"
"576","576","381","3296","329","26.25"
"577","577","400","3473","329","28.2"
"578","578","418","3654","329","29.7"
"579","579","437","3839","329","31.3"
"580","580","456","4024","329","29.65"
"581","581","475","4213","329","29.7"
"582","582","494","4406","328","31.35"
"583","583","512","4598","328","31.05"
"584","584","531","4794","328","31.4"
"585","585","549","4986","328","29.25"
"586","586","569","5182","328","28.8"
"587","587","587","5379","328","28.35"
"588","588","605","5579","328","29.3"
"589","589","622","5773","328","27.6"
"590","590","623","5934","328","23.85"
"591","591","607","6037","328","12.55"
"592","592","588","6099","328","4.75"
"593","593","568","6125","328","-1.5"
"594","594","549","6118","328","-9.05"
"595","595","530","6078","328","-19.8"
"596","596","511","6013","328","-27.6"
"597","597","492","5940","328","-27.15"
"598","598","473","5852","328","-28.4"
"599","599","454","5747","328","-34.35"
"600","600","435","5631","328","-37"
"601","601","416","5520","328","-29.4"
"602","602","397","5400","328","-29.5"
"603","603","378","5272","328","-29.9"
"604","604","359","5145","328","-25.5"
"605","605","341","5020","328","-18.8"
"606","606","322","4885","328","-18.1"
"607","607","302","4744","328","-17.45"
"608","608","284","4599","328","-16.2"
"609","609","266","4448","328","-15.65"
"610","610","246","4288","328","-15.55"
"611","611","228","4119","328","-17.9"
"612","612","209","3941","328","-21.25"
"613","613","190","3757","328","-24.1"
"614","614","171","3567","328","-25.95"
"615","615","152","3373","328","-26.95"
"616","616","134","3179","328","-26.85"
"617","617","116","2985","328","-25.7"
"618","618","96","2788","328","-25.6"
"619","619","78","2590","328","-25.35"
"620","620","59","2391","329","-25.3"
"621","621","40","2191","329","-25.4"
"622","622","22","1989","329","-25"
"623","623","6","1793","329","-24"
"624","624","0","1619","329","-21.45"
"625","625","0","1474","329","-14.35"
"626","626","0","1345","328","-11.2"
"627","627","0","1232","328","-8.7"
"628","628","-3","1124","329","-6.85"
"629","629","-12","1013","329","-6.55"
"630","630","-25","892","329","-8.05"
